Jain
Rollenlager_Kontur_Verschleiß
17

18.03.24
17:09
Anzahl	X	Y	Gültig
[No]	[mm]	[mm]	[1/0]
677	-229.425873	159.415170	1
678	-229.425376	159.415320	1
679	-229.424879	159.415521	1
680	-229.424382	159.415671	1
681	-229.423885	159.415822	1
682	-229.423388	159.415972	1
683	-229.422888	159.416022	1
684	-229.422389	159.416072	1
685	-229.421888	159.416022	1
686	-229.421387	159.415922	1
687	-229.420884	159.415771	1
688	-229.420382	159.415671	1
689	-229.419880	159.415571	1
690	-229.419378	159.415471	1
691	-229.418877	159.415421	1
692	-229.418378	159.415471	1
693	-229.417879	159.415521	1
694	-229.417382	159.415671	1
695	-229.416884	159.415771	1
696	-229.416387	159.415922	1
697	-229.415889	159.416072	1
698	-229.415390	159.416122	1
699	-229.414891	159.416172	1
700	-229.414391	159.416172	1
701	-229.413889	159.416072	1
702	-229.413388	159.415972	1
703	-229.412885	159.415822	1
704	-229.412381	159.415621	1
705	-229.411878	159.415471	1
706	-229.411376	159.415320	1
707	-229.410874	159.415220	1
708	-229.410374	159.415220	1
709	-229.409874	159.415220	1
710	-229.409376	159.415320	1
711	-229.408877	159.415421	1
712	-229.408380	159.415571	1
713	-229.407883	159.415721	1
714	-229.407385	159.415822	1
715	-229.406887	159.415922	1
716	-229.406387	159.415922	1
717	-229.405886	159.415872	1
718	-229.405385	159.415822	1
719	-229.404883	159.415721	1
720	-229.404380	159.415571	1
721	-229.403878	159.415471	1
722	-229.403377	159.415371	1
723	-229.402876	159.415320	1
724	-229.402376	159.415320	1
725	-229.401877	159.415371	1
726	-229.401378	159.415471	1
727	-229.400881	159.415621	1
728	-229.400384	159.415771	1
729	-229.399886	159.415872	1
730	-229.399388	159.416022	1
731	-229.398890	159.416122	1
732	-229.398390	159.416122	1
733	-229.397890	159.416122	1
734	-229.397389	159.416072	1
735	-229.396888	159.415972	1
736	-229.396386	159.415872	1
737	-229.395884	159.415771	1
738	-229.395381	159.415621	1
739	-229.394880	159.415571	1
740	-229.394379	159.415521	1
741	-229.393879	159.415521	1
742	-229.393380	159.415571	1
743	-229.392881	159.415621	1
744	-229.392383	159.415721	1
745	-229.391885	159.415822	1
746	-229.391387	159.415922	1
747	-229.390888	159.415972	1
748	-229.390388	159.416022	1
749	-229.389888	159.415972	1
750	-229.389387	159.415922	1
751	-229.388885	159.415822	1
752	-229.388383	159.415721	1
753	-229.387880	159.415571	1
754	-229.387378	159.415471	1
755	-229.386877	159.415371	1
756	-229.386376	159.415320	1
757	-229.385876	159.415320	1
758	-229.385377	159.415371	1
759	-229.384878	159.415471	1
760	-229.384381	159.415621	1
761	-229.383883	159.415721	1
762	-229.383386	159.415872	1
763	-229.382888	159.415972	1
764	-229.382388	159.416022	1
765	-229.381888	159.416022	1
766	-229.381388	159.415972	1
767	-229.380887	159.415922	1
768	-229.380384	159.415771	1
769	-229.379881	159.415621	1
770	-229.379379	159.415521	1
771	-229.378877	159.415371	1
772	-229.378375	159.415270	1
773	-229.377875	159.415270	1
774	-229.377375	159.415270	1
775	-229.376876	159.415320	1
776	-229.376377	159.415421	1
777	-229.375880	159.415571	1
778	-229.375382	159.415671	1
779	-229.374884	159.415771	1
780	-229.374385	159.415822	1
781	-229.373885	159.415822	1
782	-229.373384	159.415771	1
783	-229.372882	159.415671	1
784	-229.372379	159.415521	1
785	-229.371876	159.415320	1
786	-229.371373	159.415170	1
787	-229.370870	159.415020	1
788	-229.370368	159.414920	1
789	-229.369868	159.414920	1
790	-229.369370	159.415020	1
791	-229.368872	159.415120	1
792	-229.368376	159.415320	1
793	-229.367880	159.415571	1
794	-229.367385	159.415822	1
795	-229.366888	159.416022	1
796	-229.366390	159.416122	1
797	-229.365891	159.416172	1
798	-229.365390	159.416122	1
799	-229.364888	159.416022	1
800	-229.364385	159.415822	1
801	-229.363881	159.415621	1
802	-229.363377	159.415371	1
803	-229.362873	159.415170	1
804	-229.362371	159.415070	1
805	-229.361870	159.415020	1
806	-229.361371	159.415070	1
807	-229.360873	159.415170	1
808	-229.360377	159.415371	1
809	-229.359881	159.415621	1
810	-229.359386	159.415872	1
811	-229.358890	159.416122	1
812	-229.358394	159.416323	1
813	-229.357897	159.416473	1
814	-229.357397	159.416473	1
815	-229.356896	159.416423	1
816	-229.356394	159.416323	1
817	-229.355890	159.416122	1
818	-229.355386	159.415872	1
819	-229.354881	159.415621	1
820	-229.354377	159.415421	1
821	-229.353874	159.415220	1
822	-229.353373	159.415170	1
823	-229.352873	159.415170	1
824	-229.352374	159.415220	1
825	-229.351877	159.415371	1
826	-229.351381	159.415621	1
827	-229.350885	159.415822	1
828	-229.350388	159.416022	1
829	-229.349891	159.416172	1
830	-229.349394	159.416323	1
831	-229.348894	159.416323	1
832	-229.348393	159.416273	1
833	-229.347890	159.416122	1
834	-229.347387	159.415922	1
835	-229.346882	159.415671	1
836	-229.346377	159.415421	1
837	-229.345875	159.415270	1
838	-229.345371	159.415070	1
839	-229.344870	159.415020	1
840	-229.344370	159.415020	1
841	-229.343872	159.415120	1
842	-229.343375	159.415270	1
843	-229.342879	159.415521	1
844	-229.342383	159.415721	1
845	-229.341888	159.415972	1
846	-229.341391	159.416172	1
847	-229.340893	159.416273	1
848	-229.340395	159.416373	1
849	-229.339895	159.416373	1
850	-229.339393	159.416273	1
851	-229.338890	159.416122	1
852	-229.338388	159.415972	1
853	-229.337883	159.415721	1
854	-229.337380	159.415571	1
855	-229.336877	159.415371	1
856	-229.336376	159.415320	1
857	-229.335875	159.415270	1
858	-229.335376	159.415320	1
859	-229.334877	159.415421	1
860	-229.334381	159.415621	1
861	-229.333884	159.415771	1
862	-229.333388	159.415972	1
863	-229.332890	159.416122	1
864	-229.332393	159.416273	1
865	-229.331893	159.416273	1
866	-229.331393	159.416273	1
867	-229.330891	159.416172	1
868	-229.330388	159.416022	1
869	-229.329885	159.415822	1
870	-229.329381	159.415621	1
871	-229.328877	159.415421	1
872	-229.328375	159.415270	1
873	-229.327873	159.415170	1
874	-229.327372	159.415120	1
875	-229.326873	159.415170	1
876	-229.326374	159.415220	1
877	-229.325877	159.415371	1
878	-229.325379	159.415521	1
879	-229.324882	159.415671	1
880	-229.324384	159.415771	1
881	-229.323886	159.415872	1
882	-229.323387	159.415922	1
883	-229.322887	159.415922	1
884	-229.322386	159.415872	1
885	-229.321884	159.415771	1
886	-229.321382	159.415671	1
887	-229.320879	159.415521	1
888	-229.320377	159.415421	1
889	-229.319876	159.415320	1
890	-229.319374	159.415220	1
891	-229.318874	159.415220	1
892	-229.318375	159.415270	1
893	-229.317876	159.415320	1
894	-229.317377	159.415421	1
895	-229.316880	159.415571	1
896	-229.316383	159.415721	1
897	-229.315886	159.415872	1
898	-229.315388	159.416022	1
899	-229.314889	159.416072	1
900	-229.314390	159.416122	1
901	-229.313890	159.416122	1
902	-229.313390	159.416122	1
903	-229.312888	159.416022	1
904	-229.312386	159.415872	1
905	-229.311884	159.415771	1
906	-229.311381	159.415621	1
907	-229.310879	159.415521	1
908	-229.310378	159.415471	1
909	-229.309878	159.415471	1
910	-229.309378	159.415471	1
911	-229.308880	159.415571	1
912	-229.308382	159.415671	1
913	-229.307884	159.415771	1
